datetime,time,code,price,value,comm,signal
2017-04-25,2017-04-25 23:59:59.999989,000062.sz,23.0,1005100.0,1005.1,BUY
2017-04-26,2017-04-26 23:59:59.999989,000017.sz,9.04,1009767.9999999999,1009.7679999999999,BUY
2017-04-26,2017-04-26 23:59:59.999989,000062.sz,23.48,1021380.0,1021.38,BUY
2017-04-27,2017-04-27 23:59:59.999989,000017.sz,9.2,1023959.9999999999,1023.9599999999999,BUY
2017-04-27,2017-04-27 23:59:59.999989,000062.sz,23.4,1022579.9999999999,1022.58,BUY
2017-04-28,2017-04-28 23:59:59.999989,000017.sz,9.09,1018989.0,1018.989,BUY
2017-05-02,2017-05-02 23:59:59.999989,000062.sz,23.68,28416.0,28.416,BUY
2017-05-03,2017-05-03 23:59:59.999989,000017.sz,9.48,948.0,0.9480000000000001,BUY
2017-05-11,2017-05-11 23:59:59.999989,000062.sz,25.3,996778.1339257378,1024.65,SELL
2017-05-15,2017-05-15 23:59:59.999989,000062.sz,25.0,989394.5921929546,1005.0000000000001,SELL
2017-05-17,2017-05-17 23:59:59.999989,000062.sz,30.16,935248.6194858775,1146.08,SELL
2017-05-18,2017-05-18 23:59:59.999989,000062.sz,33.18,876180.2856236115,1181.208,SELL
2017-05-19,2017-05-19 23:59:59.999989,000062.sz,33.8,817111.9517613456,1122.16,SELL
2017-05-22,2017-05-22 23:59:59.999989,000062.sz,33.6,785116.6042526183,1071.8400000000001,SELL
2017-05-23,2017-05-23 23:59:59.999989,000017.sz,8.3,966950.0000000001,966.95,BUY
2017-05-23,2017-05-23 23:59:59.999989,000062.sz,31.41,844184.9381148842,1077.363,SELL
2017-05-24,2017-05-24 23:59:59.999989,000017.sz,7.7,1017170.0,1017.17,BUY
2017-05-24,2017-05-24 23:59:59.999989,000062.sz,31.32,790038.965407807,1005.3720000000001,SELL
2017-05-25,2017-05-25 23:59:59.999989,000017.sz,7.95,1041450.0,1041.45,BUY
2017-05-25,2017-05-25 23:59:59.999989,000062.sz,32.0,721125.9092351635,937.6,SELL
2017-05-26,2017-05-26 23:59:59.999989,000017.sz,7.97,1045664.0,1045.664,BUY
2017-05-26,2017-05-26 23:59:59.999989,000062.sz,32.8,5146320.0,5146.32,BUY
2017-06-01,2017-06-01 23:59:59.999989,000062.sz,31.05,5146320.0,4871.745,SELL
2017-06-02,2017-06-02 23:59:59.999989,000017.sz,7.8,1014000.0,1014.0,BUY
2017-06-05,2017-06-05 23:59:59.999989,000017.sz,8.05,1040060.0000000001,1040.06,BUY
2017-06-06,2017-06-06 23:59:59.999989,000017.sz,8.07,1043451.0,1043.451,BUY
2017-06-07,2017-06-07 23:59:59.999989,000017.sz,8.12,1046667.9999999999,1046.668,BUY
